t (s),V (mV)
0,21.1372
2.028,21.1031
4.056,21.0647
6.085,21.0237
8.113,20.9836
10.142,20.9444
12.17,20.9038
14.198,20.8659
16.227,20.8259
18.255,20.7891
20.283,20.7518
22.312,20.7159
25.302,20.6615
27.33,20.6234
28.409,20.6037
29.962,20.577
31.991,20.5399
34.019,20.504
36.048,20.4676
38.076,20.4319
40.105,20.3965
42.133,20.3618
44.161,20.3275
46.19,20.2931
49.18,20.2438
51.208,20.2112
53.237,20.1776
55.265,20.1443
57.294,20.1101
59.322,20.0774
60.401,20.06
61.954,20.0348
63.983,20.002
66.011,19.9689
68.04,19.9358
70.068,19.9028
73.058,19.8544
75.086,19.8205
77.115,19.7888
79.143,19.7571
81.172,19.7244
83.2,19.6924
85.229,19.6589
87.257,19.6272
89.285,19.5966
91.314,19.5639
92.393,19.5468
94.951,19.5069
96.979,19.4748
99.008,19.4432
101.036,19.4109
103.065,19.3788
105.093,19.3468
107.121,19.3154
109.15,19.2848
111.178,19.2542
113.207,19.2239
115.235,19.1953
117.264,19.1652
120.254,19.1178
122.282,19.0883
124.311,19.0606
126.339,19.032
127.419,19.0174
128.972,18.9929
131,18.965
133.028,18.9384
135.057,18.9116
137.085,18.8829
139.114,18.8543
141.142,18.825
144.132,18.7826
146.16,18.7526
148.189,18.7239
150.217,18.6959
152.246,18.668
154.274,18.6409
156.303,18.6134
158.331,18.5862
159.41,18.57
160.963,18.5494
162.992,18.5214
165.02,18.4948
168.01,18.4565
170.039,18.4309
172.067,18.4055
174.096,18.3786
176.124,18.3525
178.152,18.3248
180.181,18.2959
182.209,18.2683
184.238,18.2398
186.266,18.2113
188.295,18.1838
191.285,18.1429
193.313,18.1167
194.392,18.1029
195.946,18.0823
197.975,18.056
200.003,18.0306
202.032,18.0037
204.06,17.9769
206.088,17.9509
208.117,17.9248
210.145,17.8987
212.174,17.873
215.164,17.8334
217.193,17.8074
219.221,17.7807
221.25,17.7543
223.278,17.729
225.307,17.7031
227.335,17.6777
228.415,17.6632
229.968,17.6439
231.996,17.617
234.025,17.5902
236.053,17.5637
239.043,17.5236
241.072,17.4974
243.1,17.4719
245.129,17.446
247.158,17.4192
249.186,17.3929
251.215,17.3672
253.243,17.3408
255.272,17.3156
257.3,17.2912
259.329,17.2663
262.319,17.2288
263.398,17.2164
264.952,17.1968
266.98,17.1711
269.009,17.1446
271.037,17.1196
273.066,17.0963
275.094,17.0711
277.123,17.0466
279.152,17.0225
281.18,16.9992
283.209,16.9759
286.199,16.944
288.227,16.9207
290.256,16.8967
292.284,16.8733
294.313,16.8482
295.392,16.8365
296.946,16.8183
298.974,16.7945
301.003,16.7703
303.031,16.7462
305.06,16.7204
307.088,16.6952
310.078,16.6567
312.107,16.6333
314.135,16.609
316.164,16.5844
318.192,16.562
320.221,16.5371
322.249,16.5106
324.278,16.4891
326.306,16.4658
328.335,16.4421
329.414,16.4307
331.951,16.4013
333.98,16.3775
336.008,16.354
338.037,16.3294
340.065,16.3049
342.093,16.2798
344.122,16.2566
346.15,16.2338
348.179,16.2094
350.207,16.187
352.236,16.1641
354.264,16.1415
357.255,16.1041
359.283,16.0796
361.312,16.058
362.391,16.0456
363.945,16.0304
365.973,16.006
368.002,15.9849
370.03,15.9624
372.059,15.941
374.087,15.9199
376.115,15.899
378.144,15.8767
381.134,15.8435
383.163,15.8224
385.191,15.8004
387.22,15.7782
389.248,15.7559
391.277,15.7344
393.305,15.7128
395.334,15.6897
396.413,15.6778
397.966,15.6607
399.995,15.6384
402.023,15.615
405.013,15.5817
407.042,15.5616
409.07,15.5405
411.099,15.5185
413.127,15.4971
415.156,15.475
417.184,15.4521
419.213,15.4301
421.241,15.4041
423.27,15.3808
425.298,15.3624
428.288,15.3341
430.317,15.3146
431.396,15.3036
432.95,15.2881
434.978,15.268
437.007,15.246
439.035,15.2262
441.064,15.2045
443.092,15.1825
445.12,15.1602
447.149,15.1395
449.178,15.1151
452.168,15.0823
454.196,15.0612
456.225,15.0415
458.253,15.0207
460.282,15.001
462.311,14.9804
464.339,14.9596
465.419,14.9478
466.972,14.9316
469,14.9118
471.029,14.8913
473.058,14.8708
476.048,14.8397
478.077,14.8182
480.105,14.797
482.134,14.7766
484.162,14.754
486.191,14.7335
488.22,14.7122
490.248,14.6919
492.277,14.6709
494.305,14.6494
496.334,14.6275
499.324,14.5986
500.403,14.5869
501.956,14.5708
503.985,14.5515
506.014,14.5296
508.042,14.5096
510.071,14.4882
512.1,14.4675
514.128,14.4464
516.157,14.4256
518.185,14.4062
520.214,14.3862
523.204,14.3556
525.233,14.3368
527.261,14.3155
529.29,14.2951
531.319,14.2738
532.397,14.263
533.951,14.2461
535.98,14.2259
538.009,14.2047
540.037,14.1839
542.066,14.1639
544.094,14.1431
547.084,14.1127
549.113,14.0932
551.142,14.0744
553.17,14.0572
