t (s),h (mmHg*1e-5)
12,14
13,15
14,16
15,17
16,18
17,20
18,21
19,22
20,24
21,25
22,26
23,28
24,29
25,30
26,31
27,33
28,34
29,35
30,36
31,38
32,39
33,40
34,41
35,42
36,44
37,45
38,46
39,48
40,49
41,50
42,51
43,52
44,53
45,55
46,56
47,57
48,58
49,59
50,60
51,62
52,63
53,64
54,65
55,66
56,67
57,69
58,70
59,71
60,72
61,73
62,74
63,75
64,76
65,77
66,78
67,79
68,80
69,80
70,76
71,70
72,61
73,51
74,43
75,36
76,32
77,28
78,26
79,23
80,22
81,20
82,19
83,18
84,18
85,17
86,17
87,16
88,16
89,15
90,15
91,15
92,15
93,15
94,15
95,15
96,14
97,14
98,14
99,14
